source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,ra,ra_error
6133474952391837824,124.18513331297466,0.029509502,10.983478,2.663249,190.18807526858592,0.020968992
3735000631158990976,123.77563788382407,0.03286869,10.105141,2.7543068,191.98138882517026,0.026422558
1954170404122975232,123.6752359487603,0.3595069,19.792591,3.1458378,327.0723954642871,0.23417504
2246206567973292160,123.65465984021166,0.014759887,9.43527,2.4840298,307.63826397516186,0.013793272
3698534434669937024,123.64295658391296,0.0448867,11.828689,3.3687391,183.56472559955648,0.03973421
5700706729031126656,123.20329450522371,0.02362702,10.67168,2.9472322,123.17043503163158,0.014906714
3320184202856435840,123.19885316518207,0.017005328,13.9694195,0.83092594,89.10409821980528,0.014304191
4550763526539955712,122.55460651085501,0.017568411,8.74288,2.1102657,264.4766236517814,0.011781842
5273943488410008832,122.41301924617866,0.011389391,13.777515,0.85930157,118.30118445721946,0.01144508
4911306239828325632,122.108812649359,0.036529314,5.5083017,1.0707846,24.951317415506175,0.02694898
4911306239828325760,122.00347235303983,0.03193793,5.6254873,1.0941982,24.950656623757837,0.024689367
4479498508613790464,121.97881318336569,0.939553,19.08993,2.416628,279.8817390588379,0.61733013
4719430087707860736,121.70844820778298,0.031887542,10.557133,2.7857323,30.160435097325607,0.025615338
2396530698208685312,121.472361391852,0.024886552,7.259579,1.7334809,345.06283531994274,0.021651022
533621859441169920,121.45982871489811,0.015784185,8.941875,2.4585924,15.659011875595588,0.013044942
4594497838483177984,120.39791474431885,0.27854753,9.58592,2.6111593,266.60269364370964,0.16480061
4994877094997259264,120.01426997667465,0.021522488,12.895188,0.30948067,0.5484242194982256,0.014965798
4594497769766809216,119.92480848370072,0.1542597,3.2384055,1.0220034,266.6132135058437,0.10593308
4594497834189213184,119.88706136425247,0.20551951,9.184961,2.6012816,266.60286144324283,0.12932199
3713594960831605760,119.75661648253032,0.030381203,14.376431,1.1483755,204.11607940811783,0.0213619
2159844052779000064,119.75186488791154,0.034086667,11.824005,3.159114,275.6038379584113,0.035505235
2879455480942629248,119.5794051981195,0.05627809,11.167953,3.010641,355.7815091563796,0.039850265
2974726131970829952,119.57374393720566,0.04195274,7.7924075,1.9057045,75.6178310374648,0.02936214
5224460173763882496,119.34188913224592,0.030471839,12.816201,3.588379,174.52796501310212,0.027007325
2974726136265625088,118.82496536460518,0.07951455,9.636776,1.8890948,75.61776596344842,0.33842602
2202703050401536000,118.15513655131949,0.015516662,14.373105,1.05058,327.91636041932077,0.013385709
1534011998572555776,118.02660559667956,0.15303078,4.094672,0.7944677,188.43142838333532,0.07592506
3377365057060447616,117.7262697791185,0.02781314,11.662542,2.960165,96.17468890917205,0.024395863
6021430250773733632,117.67912787614085,0.107052565,12.898023,3.501872,245.00935124845444,0.08410944
6021430250773348736,117.47159417533476,0.029081289,9.495382,2.4885054,245.01042208462846,0.024118178
5639391810273308416,117.3961254185898,0.020453347,11.822395,0.23041058,130.37950135632184,0.011610207
3507879565090229888,117.1726460991387,0.1455929,4.5325284,0.898438,199.596298132351,0.103657864
